ZIP,DATE,TIME,TYPE
90502,2016-08-21,06:08:30,LARCENY THEFT
91011,2016-09-14,02:09:00,LARCENY THEFT
91387,2016-01-29,02:01:00,LARCENY THEFT
90703,2016-02-01,03:02:00,LARCENY THEFT
90265,2016-12-07,11:12:00,LARCENY THEFT
90265,2016-12-02,12:12:00,VANDALISM
90063,2016-04-08,06:04:18,GRAND THEFT AUTO
90723,2016-06-21,10:06:00,VEHICLE / BOATING LAWS
90712,2016-04-14,02:04:00,LARCENY THEFT
90712,2016-04-14,04:04:00,LARCENY THEFT
90712,2016-04-14,09:04:00,LARCENY THEFT
90502,2016-10-13,12:10:30,LARCENY THEFT
90639,2016-10-02,10:10:00,LARCENY THEFT
90638,2016-04-01,08:04:00,LIQUOR LAWS
93536,2016-10-02,06:10:00,NON-AGGRAVATED ASSAULTS
90220,2016-07-01,05:07:00,MISDEMEANORS MISCELLANEOUS
90723,2016-08-31,05:08:00,VEHICLE / BOATING LAWS
90660,2016-04-08,01:04:00,LARCENY THEFT
91350,2016-11-16,06:11:00,VEHICLE / BOATING LAWS
90262,2016-05-21,11:05:00,BURGLARY
91754,2016-11-28,09:11:30,LARCENY THEFT
90723,2016-07-07,09:07:00,VEHICLE / BOATING LAWS
90001,2016-05-14,03:05:00,NON-AGGRAVATED ASSAULTS
91010,2016-06-17,08:06:00,VEHICLE / BOATING LAWS
90650,2016-01-27,05:01:00,NARCOTICS
90650,2016-01-28,03:01:00,NARCOTICS
90270,2016-01-17,07:01:00,VEHICLE / BOATING LAWS
93534,2016-04-18,07:04:00,NON-AGGRAVATED ASSAULTS
91773,2016-07-09,12:07:00,FRAUD AND NSF CHECKS
90717,2016-01-18,03:01:00,NARCOTICS
90703,2016-06-30,12:06:00,FRAUD AND NSF CHECKS
91010,2016-07-02,05:07:00,AGGRAVATED ASSAULT
90274,2016-09-12,09:09:30,LARCENY THEFT
90706,2016-06-21,05:06:00,VEHICLE / BOATING LAWS
90022,2016-07-10,07:07:00,GRAND THEFT AUTO
90660,2016-03-15,12:03:00,LIQUOR LAWS
91773,2016-04-20,03:04:00,LARCENY THEFT
93551,2016-05-19,09:05:00,NON-AGGRAVATED ASSAULTS
93551,2016-05-27,10:05:00,ROBBERY
90650,2016-04-23,02:04:00,SEX OFFENSES FELONIES
90723,2016-07-16,10:07:40,LARCENY THEFT
90260,2016-01-08,10:01:00,LARCENY THEFT
90220,2016-01-12,09:01:00,LARCENY THEFT
90703,2016-04-24,03:04:00,LARCENY THEFT
90712,2016-07-16,03:07:00,VANDALISM
90063,2016-06-30,08:06:00,FEDERAL OFFENSES W/O MONEY
91387,2016-04-22,12:04:00,VANDALISM
90220,2016-04-27,05:04:00,SEX OFFENSES MISDEMEANORS
90044,2016-04-23,10:04:30,LARCENY THEFT
91780,2016-01-22,08:01:00,FRAUD AND NSF CHECKS
91770,2016-01-22,03:01:00,LARCENY THEFT
90220,2016-01-14,08:01:00,VANDALISM
90220,2016-01-07,01:01:00,VANDALISM
90221,2016-01-18,02:01:30,GRAND THEFT AUTO
90040,2016-01-31,03:01:16,LARCENY THEFT
90044,2016-01-30,02:01:18,VANDALISM
90040,2016-02-02,03:02:00,LARCENY THEFT
90650,2016-04-26,04:04:00,VEHICLE / BOATING LAWS
91746,2016-03-27,11:03:00,LARCENY THEFT
93510,2016-03-07,12:03:00,LARCENY THEFT
93544,2016-01-22,01:01:00,LARCENY THEFT
91773,2016-04-17,10:04:00,GRAND THEFT AUTO
90703,2016-05-09,03:05:00,LARCENY THEFT
90033,2016-01-23,02:01:00,VANDALISM
